Catalog Number,Calendar Date,Eclipse Time,Eclipse Type,Eclipse Magnitude,Latitude,Longitude
9706,2025 March 14,6:59:56,T,3N,102W
9707,2025 September 7,18:12:58,T,6S,87E
9708,2026 March 3,11:34:52,T,6N,171W
9709,2026 August 28,4:14:04,P,9S,63W
9710,2027 February 20,23:14:06,N,10N,15E
9711,2027 July 18,16:04:09,Ne,22S,121E
9712,2027 August 17,7:14:59,N,12S,108W
9713,2028 January 12,4:14:13,P,23N,61W
9714,2028 July 6,18:20:57,P,23S,86E
9715,2028 December 31,16:53:15,T,23N,108E
9716,2029 June 26,3:23:22,T+,23S,50W
9717,2029 December 20,22:43:12,T,23N,19E
9718,2030 June 15,18:34:34,P,23S,82E
9719,2030 December 9,22:28:51,N,22N,21E
9720,2031 May 7,3:52:02,N,18S,59W
9721,2031 June 5,11:45:17,N,21S,176W
9722,2031 October 30,7:46:45,N,15N,121W
9723,2032 April 25,15:14:51,T,14S,131E
9724,2032 October 18,19:03:40,T,10N,71E
9725,2033 April 14,19:13:51,T,9S,72E
9726,2033 October 8,10:56:23,T,6N,167W
9727,2034 April 3,19:06:59,N,5S,75E
9728,2034 September 28,2:47:37,P,1N,44W
9729,2035 February 22,9:06:12,N,9N,133W
9730,2035 August 19,1:12:15,P,12S,17W
9731,2036 February 11,22:13:06,T,14N,31E
9732,2036 August 7,2:52:32,T+,16S,41W
9733,2037 January 31,14:01:38,T,18N,153E
9734,2037 July 27,4:09:53,P,20S,60W
9735,2038 January 21,3:49:52,N,21N,54W
9736,2038 June 17,2:45:02,N,22S,41W
9737,2038 July 16,11:35:56,N,23S,172W
9738,2038 December 11,17:45:00,N,22N,93E
9739,2039 June 6,18:54:25,P,22S,77E
9740,2039 November 30,16:56:28,P,21N,104E
9741,2040 May 26,11:46:22,T-,21S,177W
9742,2040 November 18,19:04:40,T+,20N,70E
9743,2041 May 16,0:43:03,P,20S,12W
9744,2041 November 8,4:35:05,P,18N,73W
9745,2042 April 5,14:30:11,N,5S,144E
9746,2042 September 29,10:45:47,N,2N,163W
9747,2043 March 25,14:32:04,T,2S,144E
9748,2043 September 19,1:51:50,T,2S,29W
9749,2044 March 13,19:38:33,T,2N,68E
9750,2044 September 7,11:20:44,T,5S,171W
9751,2045 March 3,7:43:26,N,6N,113W
9752,2045 August 27,13:54:50,N,9S,152E
9753,2046 January 22,13:02:37,P,21N,168E
9754,2046 July 18,1:06:05,P,22S,14W
9755,2047 January 12,1:26:14,T,22N,19W
9756,2047 July 7,10:35:45,T-,23S,157W
9757,2048 January 1,6:53:55,T,23N,102W
9758,2048 June 26,2:02:28,P,23S,30W
9759,2048 December 20,6:27:48,N,22N,97W
9760,2049 May 17,11:26:39,N,21S,172W
9761,2049 June 15,19:14:12,N,22S,72E
